2026/02/11 18:08:18 [error] 271#271: *12323 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.17.0.1, server: _, request: "GET /api/stock/products/74 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "78.203.181.71:9283"
2026/02/12 11:28:26 [error] 261#261: *8 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.17.0.1, server: _, request: "POST /api/objects/products HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.0.56:9283", referrer: "http://192.168.0.56:9283/product/new"
2026/02/12 11:29:41 [error] 261#261: *8 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.17.0.1, server: _, request: "POST /api/objects/products HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.0.56:9283", referrer: "http://192.168.0.56:9283/product/new"
2026/02/12 11:32:33 [error] 261#261: *8 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.17.0.1, server: _, request: "POST /api/objects/products HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.0.56:9283", referrer: "http://192.168.0.56:9283/product/new"
2026/02/12 11:36:50 [error] 257#257: *240 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.17.0.1, server: _, request: "POST /api/objects/products HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "78.203.181.71:9283", referrer: "http://78.203.181.71:9283/product/new"
2026/02/12 11:38:35 [error] 257#257: *240 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.17.0.1, server: _, request: "POST /api/objects/products HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "78.203.181.71:9283", referrer: "http://78.203.181.71:9283/product/new"
2026/02/12 11:39:17 [error] 257#257: *240 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.17.0.1, server: _, request: "POST /api/objects/products HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "78.203.181.71:9283", referrer: "http://78.203.181.71:9283/product/new"
2026/02/12 11:40:40 [error] 261#261: *8 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.17.0.1, server: _, request: "DELETE /api/objects/products/134 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.0.56:9283", referrer: "http://192.168.0.56:9283/products?include_disabled=true"
2026/02/12 11:41:08 [error] 257#257: *279 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 172.17.0.1, server: _, request: "DELETE /api/objects/products/138 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.0.56:9283", referrer: "http://192.168.0.56:9283/products?include_disabled=true"
2026/02/12 11:41:13 [error] 257#257: *281 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 172.17.0.1, server: _, request: "DELETE /api/objects/products/121 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.0.56:9283", referrer: "http://192.168.0.56:9283/products?include_disabled=true"
2026/02/12 11:41:15 [error] 257#257: *283 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 172.17.0.1, server: _, request: "DELETE /api/objects/products/128 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.0.56:9283", referrer: "http://192.168.0.56:9283/products?include_disabled=true"
